commit	hypothesis	score	wall_seconds	verdict	diagnosis
1f2d395d	baseline: program head as shipped, no change	no exit; watermark 2-2 progress 134	123.7	keep (baseline)	still climbing at budget end (bucket 65 at 29K executions, 134 at 58K); 208,904 entries retained, 219,230 rejected, 10,400 deaths
1f2d395d	census of the baseline archive by selection cell (evidence only, no code change)	n/a	n/a	finding	The selector is the 2-2 problem, and a room-identity fault feeds it. Rooms: the single water area of 2-2 is split into five rooms ([0,1,0]..[0,1,4], 43K/34K/29K/30K/15K entries) because a job's boundaries are completed against the last retained entry, and a spliced job from the land start replays a known path whose early water boundaries are all rejected (full slots), so the first boundary that lands in a fresh slot at page k opens room [0,1,k]; the same positions then get five copies of every cell. Effort: of 51,583 jobs with a live parent, 1.4% (722) started from the frontier band (progress 128-134), 8.3% from progress >= 120, and about 68% from progress < 72; the level-start land room alone took 3,737 jobs (7%). Cause in the selector: a band's energy resets only when a child opens a new cell, so early bands with a large unexplored cell space (y x engine x room-x) keep full energy while the stuck frontier decays to the 1/256 floor, and the room depth's frontier rank sorts rooms by area bytes, so the land start ([1,9,0]) ranks deepest. Byte spread: 67% of work-RAM bytes are constant inside every cell; the bytes that vary most within a cell are frame/RNG counters (0x09, 0x7a7-0x7ad, 0x42c-0x42e), so within-cell RAM spread gives no evidence that the key is too coarse.
9d051fce	room carry: complete every boundary of a job against the boundary before it, rejected boundaries included, so a spliced job keeps its lineage's room instead of opening a new one at the first free slot	exit 2-2 at 49,566 executions (seed 20260905; flagpole at 49,530, then 2-3 progress 152); confirm s20260906 exit 56,079 vs baseline no exit (150); s20260907 exit 53,835 vs baseline no exit (150); floor run reaches 2-1 progress 101	119.6	keep	the water area collapses from five rooms to one (118,249 entries), duplicate cells vanish, and the frontier band gets the jobs the copies used to absorb; the level-start land room still takes 18% of walk jobs (7,208 of 39K) with only 1,228 entries, so the selector's room rank is next
9d051fce+	frontier rank at the floor: rank rooms by their deepest live cell and widen the energy weight so the rank order survives the 1/256 floor	no exit; watermark 2-2 progress 176 (best 49,566 exit)	111.0	discard	slower at every stage (progress 150 at 35K vs 30K, 159 at 45K vs 35K, flagpole room reached at 57,956 vs 49,392) because the rank key is the full cell key, so within the deepest progress bucket the highest y bucket and engine state rank deepest: in the flagpole room the pipe-entrance cells (176,y12-14,engine 7) took 269 of 692 walk jobs and opened nothing deeper; the land start room still took 13% of walk jobs (5,246) because one rank position only halves the weight
1b680245	band rank at the floor: rank rooms by their deepest live progress band, bands by themselves, cells by energy alone, and widen the energy weight so the rank order survives the 1/256 floor	exit 2-2 at 31,599 executions (seed 20260905; then 2-3, 2-4 and 3-1 exit inside the budget, watermark 3-2 progress 206); confirm s20260906 exit 48,326 vs 56,079; s20260907 exit 39,882 vs 53,835; floor run reaches 2-1 progress 101	86.2	keep	the level-start land room drops from 7,208 to 2,393 walk jobs and the deepest water band gets twice the band behind it at the floor; the stall at progress 159 still costs 11K executions (20K to 31.6K) and both runs broke it from a parent at progress 152-158 near the top of the screen, so within-band cell choice is the next cost
1b680245+	forward-only energy: a group's energy refreshes only when a child opens a new cell in a deeper band than its parent, so sideways discoveries in a wide band behind the frontier stop keeping it fresh	no exit; watermark 2-2 progress 159 (best 31,599 exit)	102.7	discard	slower at every stage (progress 65 until 20K vs 142 at 15K; 150 at 40K; 159 at 55K): without sideways refreshes every band sits at the floor, the walk spreads geometrically over bands (deepest band 2,241 of 24,204 late water jobs, band 17 4,303) and the land start room rises to 4,307 walk jobs; sideways discovery is the signal that says which band is feeding the frontier, so it must keep refreshing energy
1b680245+	fresh frontier: the deepest live band and room always draw at full energy however long they have been barren; everything behind keeps energy times rank	exit 2-2 at 32,495 executions (best 31,599); then 2-3, 2-4, 3-1, 3-2 exit inside the budget, watermark 3-3 progress 19; evidence runs s20260906 exit 44,736 vs 48,326, s20260907 exit 30,949 vs 39,882	60.2	discard	the stall at progress 159 breaks in 5.7K executions instead of 12.5K (the deepest band got most of the walk), but a new 10K stall appears at progress 64-65 (4.3K before) and a 3.2K stall at 134: at 64 the deepest band held three cells, all at the sea floor (y 14-15), and took 2,472 walk jobs (824 per cell) while the way through came from the band behind; a frontier band decays by barren selections per band, so a three-cell band and a sixty-cell band decay alike, which is the mismatch to fix
1b680245+	size-scaled energy: a band's energy halves every 12 barren selections per live cell and a room's per live band, so a three-cell band decays as fast as a sixty-cell band selected twenty times as often; cells keep the plain scale	exit 2-2 at 32,562 executions (best 31,599); then 2-3, 2-4, 3-1 exit inside the budget, watermark 3-2 progress 87; evidence runs s20260906 exit 33,723 vs 48,326, s20260907 exit 35,925 vs 39,882	61.3	discard (loses seed 05 by 3%; wins seeds 06 and 07 by 30% and 10%)	the 64 stall shrinks to 3.8K (5.7K under fresh frontier, 4.3K plus 1.4K under band rank) and the 159 stall to 6.6K (12.5K), but a 6.6K stall appears at progress 150-153 and the flagpole stretch takes 2K longer; on seeds 06 and 07 it is the fastest run so far; the deepest band holds about 190 cells (camera bucket x screen-x bucket x y row) so under band rank each cell gets one walk draw per 5K executions, and the way past the obstacle at level x 163-165 is a ladder of new cells up to y rows 1-3 (first reached at 23K-26K) that must each be discovered and then drawn, which is the stall mechanism
1b680245+	cell novelty: within a band the walk ranks live cells newest-first (by the id that opened each cell) and halves the weight every 8 older cells, so a cell opened moments ago is drawn before the band's older cells dilute it	exit 2-2 at 18,405 executions (best 31,599); then 2-3, 2-4, 3-1, 3-2 exit inside the budget; evidence runs s20260906 exit 22,897 vs 48,326, s20260907 exit 26,902 vs 39,882; floor run fails: ends in 1-3 at progress 117 and never reaches 2-1 (band rank reached 2-1 at 38,316)	68.5	discard (fails the floor check)	the 2-2 ladder is climbed as a chain of prompt draws (159 stall 1.7K instead of 12.5K, 64 stall 1.7K) and 2-2 exits 42% sooner on every seed, but in the floor run 1-3 is entered at 6,555 (band rank 11,331) and then never left: in its 111-117 stall (27.5K to 43.6K) the newest frontier cells at progress 112-114 were drawn 40-83 times each with half the jobs producing no retained child, and one level-end cell took 286 draws, because newest-first keeps ranking a cell first however many draws it has already had; the novelty signal must expire with the cell's own draw count
1b680245+	bounded novelty: the newest-first cell rank applies only while a cell has had fewer than 4 draws; after that the cell competes on energy alone	exit 2-2 at 45,919 executions (best 31,599); then 2-3, 2-4, 3-1, 3-2 exit inside the budget, watermark 3-3 progress 216; evidence runs s20260906 exit 16,298 vs 48,326, s20260907 exit 12,394 vs 39,882; floor run reaches 2-2 progress 159	89.5	discard (loses seed 05 by 45%; wins seeds 06 and 07 by 66% and 69%; floor passes)	the water is crossed faster than any run so far (pipe up at 10,938) and the floor run passes without the 1-3 stall (it takes the 1-2 warp pipe to 2-1 at 14,587 and enters 2-2 at 26,003), but seed 05 then sits 31K executions in the flagpole room: every job from the room's 9,299 entries died after a fixed 1-8 frames whatever the input, which is the level clock running out, because the first lineage to cross the water was too slow and the archive key cannot tell a route with 90 seconds left from one with none; a faster route arriving at the same cell only displaces the slot, it opens nothing new, so neither novelty nor energy notices it, and the exit came at 45,688 from a spliced tail; the level clock must enter the cell key
